,username,first_name,last_name,Hw1,Hw2,Hw3,Hw4,Hw5,Exam1,Exam2,Exam3,Exam4,Grade,LetterGrade
43,ta8221,Taylor,Johnson,100.0,85.0,57.0,55.0,92.0,100.0,34.0,73.0,100.0,76.0,B
44,br7021,Brian,Green,60.0,100.0,57.0,68.0,98.0,67.0,30.0,63.0,78.0,63.0,C
45,ma4622,Matthew,Bell,62.0,89.0,32.0,70.0,88.0,66.0,46.0,83.0,66.0,66.0,C
46,jo4560,Jonathan,Williams,48.0,61.0,82.0,68.0,94.0,97.0,66.0,75.0,86.0,78.0,B
47,wi9948,William,Gonzalez,84.0,92.0,82.0,78.0,80.0,24.0,48.0,85.0,60.0,61.0,C
48,ni2641,Nicholas,Massey,40.0,55.0,48.0,85.0,82.0,99.0,40.0,48.0,56.0,61.0,C
49,ca5984,Caroline,Chambers,66.0,68.0,38.0,80.0,88.0,62.0,74.0,80.0,70.0,71.0,B
50,am5353,Amy,Lowe,54.0,74.0,72.0,62.0,80.0,78.0,54.0,87.0,18.0,64.0,C
51,gl9622,Gloria,King,76.0,100.0,52.0,52.0,98.0,77.0,12.0,50.0,46.0,54.0,C
52,je8250,Jessica,Thompson,60.0,64.0,65.0,98.0,94.0,94.0,56.0,82.0,64.0,75.0,B
53,ja5187,Jason,Carroll,48.0,63.0,57.0,0.0,92.0,70.0,58.0,100.0,42.0,65.0,C
54,em3659,Emily,Howard,70.0,74.0,75.0,63.0,94.0,61.0,54.0,75.0,50.0,64.0,C
55,da3956,Danielle,Castro,78.0,65.0,75.0,67.0,100.0,100.0,58.0,87.0,62.0,78.0,B
56,pa3251,Patrick,Rogers,72.0,92.0,50.0,45.0,86.0,28.0,48.0,85.0,38.0,55.0,C
57,do5420,Douglas,Allen,76.0,59.0,38.0,67.0,68.0,75.0,28.0,0.0,62.0,45.0,D
58,he8108,Heather,Roberts,58.0,58.0,35.0,67.0,92.0,48.0,44.0,75.0,60.0,58.0,C
59,tr2071,Travis,Schultz,64.0,68.0,72.0,85.0,90.0,60.0,34.0,52.0,70.0,59.0,C
60,mi6251,Michelle,Hughes,58.0,68.0,42.0,87.0,84.0,100.0,36.0,68.0,94.0,72.0,B
61,ma8012,Matthew,Smith,64.0,100.0,52.0,75.0,80.0,74.0,30.0,78.0,74.0,66.0,C
62,ge4918,George,Allen,56.0,89.0,52.0,90.0,86.0,79.0,58.0,87.0,70.0,74.0,B
63,ja2684,Jamie,Hutchinson,38.0,76.0,62.0,80.0,92.0,39.0,52.0,75.0,72.0,61.0,C
64,je8098,Jennifer,Morales,74.0,57.0,28.0,75.0,84.0,60.0,42.0,85.0,74.0,64.0,C
65,je3957,Jennifer,Bates,62.0,88.0,65.0,78.0,100.0,79.0,40.0,58.0,50.0,63.0,C
66,je5469,Jeremy,Green,40.0,60.0,72.0,72.0,80.0,82.0,50.0,73.0,68.0,67.0,C
67,jo9752,Joseph,Freeman,78.0,52.0,65.0,68.0,82.0,87.0,0.0,75.0,76.0,61.0,C
68,ni6795,Nicole,Henson,54.0,93.0,57.0,70.0,68.0,75.0,18.0,100.0,42.0,62.0,C
69,er2472,Eric,Owens PhD,70.0,80.0,65.0,57.0,92.0,86.0,56.0,72.0,88.0,74.0,B
70,ro8263,Robin,Lopez,84.0,89.0,70.0,80.0,70.0,84.0,42.0,68.0,92.0,72.0,B
71,mi8365,Miss,Angela Swanson DVM,72.0,80.0,15.0,58.0,84.0,38.0,20.0,39.0,58.0,44.0,D
72,mi9448,Michael,Stewart,90.0,88.0,98.0,88.0,88.0,76.0,18.0,62.0,66.0,64.0,C
73,mi7001,Mitchell,Smith,48.0,65.0,70.0,72.0,82.0,90.0,36.0,78.0,52.0,65.0,C
74,ke4762,Kelsey,Davis,78.0,59.0,50.0,75.0,100.0,87.0,54.0,70.0,84.0,73.0,B
75,ma3435,Matthew,Russo,58.0,85.0,55.0,83.0,100.0,51.0,56.0,48.0,48.0,57.0,C
76,wi2634,William,Garcia,54.0,63.0,70.0,85.0,100.0,59.0,34.0,73.0,66.0,62.0,C
77,je1973,Jennifer,Miller,60.0,65.0,60.0,48.0,82.0,53.0,66.0,70.0,52.0,61.0,C
78,je5464,Jesse,Sparks,64.0,68.0,28.0,72.0,100.0,72.0,72.0,50.0,72.0,66.0,C
79,br9393,Brandi,Meyer,72.0,75.0,98.0,90.0,94.0,98.0,56.0,73.0,34.0,72.0,B
80,ha3418,Hannah,Wiggins,50.0,70.0,60.0,47.0,98.0,36.0,40.0,97.0,96.0,65.0,C
81,al4455,Albert,Williams,86.0,54.0,80.0,80.0,100.0,62.0,68.0,83.0,50.0,70.0,B
82,kr7167,Kristin,Potts,78.0,65.0,50.0,37.0,80.0,52.0,62.0,85.0,72.0,66.0,C
83,su6819,Susan,Williams,42.0,42.0,90.0,58.0,86.0,91.0,64.0,55.0,66.0,68.0,C
84,me7521,Meredith,Rios,96.0,84.0,68.0,75.0,98.0,64.0,40.0,82.0,54.0,66.0,C
85,st7242,Stephanie,Bowman,100.0,51.0,66.0,47.0,64.0,66.0,4.0,77.0,52.0,54.0,C
86,jo8742,Joshua,Clark,92.0,58.0,45.0,58.0,100.0,71.0,84.0,83.0,88.0,78.0,B
87,al7738,Alexa,Hernandez,66.0,76.0,82.0,50.0,96.0,84.0,24.0,82.0,60.0,66.0,C
88,ri3787,Richard,Higgins,50.0,64.0,75.0,100.0,90.0,67.0,50.0,55.0,76.0,65.0,C
89,ma8316,Marc,Williams,88.0,86.0,85.0,78.0,92.0,14.0,88.0,75.0,54.0,65.0,C
90,wi5305,William,Roberts,62.0,56.0,52.0,85.0,80.0,86.0,56.0,63.0,58.0,66.0,C
91,jo3610,Joshua,Carter,92.0,79.0,55.0,72.0,86.0,84.0,66.0,0.0,80.0,61.0,C
92,da6531,David,Williams,74.0,74.0,100.0,68.0,100.0,71.0,26.0,62.0,88.0,66.0,C
93,jo7926,Joseph,Jones,88.0,57.0,45.0,48.0,60.0,53.0,22.0,95.0,66.0,59.0,C
94,ga8204,Gary,Perry,76.0,83.0,60.0,70.0,100.0,82.0,42.0,62.0,42.0,63.0,C
95,te7922,Terry,Wells,82.0,72.0,76.0,62.0,90.0,83.0,68.0,62.0,100.0,77.0,B
96,va5182,Vanessa,Cooper,70.0,87.0,65.0,90.0,84.0,66.0,44.0,77.0,52.0,65.0,C
97,mi1307,Michael,Simmons,100.0,87.0,72.0,93.0,84.0,71.0,38.0,0.0,40.0,50.0,C
98,ni6302,Nicholas,Kline,72.0,100.0,55.0,100.0,80.0,56.0,54.0,68.0,100.0,71.0,B
99,lo2152,Lori,Bennett,78.0,95.0,70.0,0.0,90.0,71.0,68.0,63.0,62.0,66.0,C
mean,,,,70.0,76.0,61.0,69.0,89.0,69.0,48.0,71.0,69.0,66.0,
std,,,,18.0,16.0,18.0,19.0,10.0,22.0,19.0,19.0,17.0,8.0,
